funktion,bezeichnung,pavement,vegetation,water
4001,,3,,
4100,Sportanlage,,3,
4110,Golf,,8,
4120,Sportplatz,,3,
4130,Rennbahn,,8,
4140,Reitsport,,1,
4150,Schiessanlage,3,,
4160,Eis Rollschuhbahn,3,,
4170,Tennis,,1,
4200,Freizeitanlage,,8,
4210,Zoo,,8,
4220,Safaripark Wildpark,,,
4230,Freizeitpark,,,
4235,Kletteranlage,,,
4240,Freilichtbuehne,,,
4250,Freilichtmuseum,3,,
4260,Autokino Freilichtkino,,,
4270,Verkehrsuebungsplatz,,,
4275,Go-Kart Bahn,,,
4280,Hundeuebungsplatz,,8,
4290,Modellfluggelaende,,3,
4295,Gelaende für Luftsportgeraete,,,
4300,Erholungsflaechen,,8,
4310,Wochenend Ferienhausflaeche,3,,
4320,Schwimmen,,8,
4330,Campingsplatz,,8,
4400,Gruenanlage,,8,
4410,Siedlungsgruenflaeche,,8,
4420,Park,,8,
4430,Botanischer Garten,,8,
4440,Kleingarten,,8,
4450,Wochenendplatz,,,
4460,Garten,,8,
4470,Spielplatz Boltzplatz,,8,
1200,Parken,1,,
